Domain,Word,Definition,TLD
ahul.au,ahulau,"   • pestilence, epidemic, 
   • heaped up, as dead bodies.   ",au
ahua.ke,ahuake, ,ke
akal.au,akalau,"the ghost or spirit of a living person seen by others, a sign of calamity. lit., many shadows. ",au
akea.ke,akeake,"quick, ready, as to do a kindly, deed, helpful. ",ke
ahik.ao,ahikao,"fireworks (perhaps from Eng. scow [kao], as fireworks were first displayed from ships of explorers). ",ao
akah.ao,akahao,"to pick up carefully, as food. ",ao
ahaha.na,ahahana,"syllables repeated in chants, usually at ends of verses, similar to ēhē; also ahana and ahana kōkō lele, both meaningless. ",na
aha.na,ahana, ,na
ahu.na,ahuna,"pile, heap. ",na
aho.na,ahona,"better, well, well-being, fortunate, improved; to need (aho₃ + -na). ",na
akaha.na,akahana,to work carefully or slowly. ,na
ahu.lu,ahulu,"overdone, overcooked; overcultivated, as soil. ",lu
ahuu.lu,ahuulu, ,lu
ahua.hu,ahuahu,"healthy, vigorous; strength and vigor, as of animal or plant; to grow rapidly, thrive. ",hu
akalu.li,akaluli,"to move slowly, carefully. ",li
akeakam.ai,akeakamai,"a lover of wisdom, seeker after knowledge, philosopher, scientist, scholar; philosophy, science; scientific. lit., to desire wisdom. ",ai
akah.ai,akahai,"modest, gentle, unassuming, unpretentious, unobtrusive, docile, decorous, meek, suave; meekness, modesty. ",ai
alau.la,alaula,"light of early dawn, sunset glow. lit., flaming road. ",la
akiaha.la,akiahala, ,la
alawe.la,alawela,"dark lines on stomach of a pregnant woman, converging near the navel. lit., burned path. ",la
alahu.la,alahula,"   • a frequented and well-known path; to frequent such; 
   • to tread or trample, as on a taboo being broken. And.   ",la
akepahao.la,akepahaola,lung. ,la
akui.la,akuila, ,la
akep.au,akepau,"tuberculosis, consumption. lit., finished liver. ",au
alap.ao,alapao,tunnel. ,ao
alah.ao,alahao,"railway, railroad track. lit., iron road. ",ao
ala.na,alana,"awakening, rising. ",na
ake.na,akena,"to boast, brag, admire, praise. ",na
akeomi.lu,akeomilu,"a lua fighting stroke. lit., the liver of Milu ",lu
alaw.ai,alawai,"channel, canal. ",ai
alapi.ne,alapine,"quick, fast. ",ne
alapinepi.ne,alapinepine, ,ne
alami.mo,alamimo,"quick, fast. ",mo
amaum.au,amaumau, ,au
anaanap.au,anaanapau,to move briskly. ,au
anahon.ua,anahonua,geometry. ,ua
alol.ua,alolua,"two-sided, two-faced; facing one another, as cliffs on opposite sides of a valley. ",ua
alohal.ua,alohalua,"name given to the kāmole plant used in hana aloha sorcery. lit., mutual love. ",ua
anai.na,anaina,"congregation, audience, assembly, gathering, crowd; to assemble. ",na
ale.na,alena,"a lowland perennial weed (Boerhaavia repens), with long, thin, prostrate branches, bearing small leaves and flowers. The swollen roots were used medicinally, acting as a diuretic. Anena on Niʻihau. ",na
anahu.lu,anahulu,period of ten days; for ten days; to pass ten days. ,lu
alua.lu,alualu,"   • to follow, pursue, chase; 
   • to run, as for political office.    ",lu
anahuinako.lu,anahuinakolu,trigonometry. lit. triangular measurement. ,lu
amua.mu,amuamu, ,mu
amoa.mo,amoamo,"to raise or mount high, as waves; high, raised. ",mo
alia.na,aliana, ,na
alu.like,alu like,work together... ,like
apoh.ao,apohao,"iron hoop or band, named for the king's guard under the monarchy. ",ao
anoa.no,anoano, ,no
auak.ua,auakua,"ghost-ridden; haunted or unfriendly land. lit., ghost bile. cf. (Isa. 13.9) . ",ua
auhon.ua,auhonua,"ancient age, era, epoch. ",ua
auka.na,aukana,short for au kanaiʻi. ,na
anawae.na,anawaena,"diameter. lit., middle measure. ",na
ana.na,anana,"fathom: formerly the distance between tips of longest fingers of a man, measured with arms extended on each side; Catholic writers equated anana with one meter; to count by this measurement or by fathoms. ",na
anea.ne,aneane,"faint, feeble, exhausted; nauseous dizziness. ",ne
anau.na,anauna, ,na
apowae.na,apowaena,parentheses. ,na
auhi.li,auhili,"to turn off the course, wander, deviate. ",li
auhu.li,auhuli,"to overturn, overthrow, upset; to till. ",li
aou.li,aouli,"firmament, sky, blue vault of heaven. ",li
ekikil.au,ekikilau,a stench that draws flies; bad-smelling. ,au
haeo.la,haeola,murderous. ,la
aupu.la,aupula,fishing with a pula stick or pūlale to drive fish into a net. ,la
hahaha.na,hahahana, ,na
haha.na,hahana,"heat, warmth; warm, sultry, hot. ",na
hae.na,haena,"-na₁ form with hae₁,₂,₃; wildness; barking; tearing. ",na
epae.pa,epaepa,part of a fish's tail above and below the cleft. ,pa
ene.ne,enene, ,ne
ehehe.ne,ehehene,"to laugh merrily, giggle in glee; laughter. ",ne
ehue.hu,ehuehu,"   • animation varying from fury and storm to power and majesty, animated, animation. 
   • violent; violence
   • anger, fury; furious
   • powerful
   • majesty.   ",hu
haeh.ae,haehae,"to tear to bits, tease; ",ae
aulo.li,auloli,mildew. ,li
emow.ai,emowai,"an addition of water, as for mixing poi. Kauaʻi. ",ai
haika.la,haikala,"severe cramps, said to have often proved fatal. ",la
hai.ao,hai ao,day sacrifice; to sacrifice by daylight. ,ao
hah.ao,hahao,"to insert, put in. ",ao
hailiop.ua,hailiopua,"a small native fern (Schizaea robusta) found in high mountain wet areas believed to be the plant form of the sorcery goddess Pua; sometimes used as a psychological remedy to ward off the evil influence of Pua.  lit., Pua's memory. Hawaiʻi. ",ua
haha.ua,hahaua, ,ua
haiam.ua,haiamua, ,ua
haiki.na,haikina,hyacinth. ,na
hahuha.hu,hahuhahu, ,hu
haie.hu,haiehu, ,hu
hahi.na,hahina, ,na
haho.ma,hahoma, ,ma
hailo.na,hailona,"   • divination, casting lots, throwing dice; 
   • to test 
   • (also used interchangeably with hōʻailona).   ",na
haili.li,hailili, ,li
haih.ai,haihai, ,ai
haili.moe,haili moe,"recollected dream, vision. ",moe
hahi.li,hahili,a kind of fish. ,li
haha.pe,hahape,Kauaʻi. ,pe
hakin.au,hakinau, ,au
halahalak.au,halahalakau, ,au
halak.au,halakau,"to perch high, as a bird. ",au
halaha.la,halahala,"correction, criticism, complaint, reproach. ",la
halahu.la,halahula,"consideration of grievances, disputes; councils for such consideration. ",la
hakak.au,hakakau,"to straddle. fig., a tall thin person. ",au
hak.ua,hakua, ,ua
hakakaulu.na,hakakauluna,"same as lona, canoe rest. ",na
hakali.na,hakalina,"showy, pompous, vain, as of one's attire. ",na
hakuha.na,hakuhana, ,na
hai.na,haina,"offering, sacrifice. ",na
hakiha.na,hakihana, ,na
haku.one,hakuone,"small land division, as cultivated for a chief. ",one
hakupa.pa,hakupapa,"to sew feathers to a band, as for a hat. ",pa
haki.na,hakina,"   • broken piece, remnant, scrap, fragment; 
   • portion, 
   • balance, 
   • section, 
   • fraction, as in arithmetic. ",na
hakakaupi.li,hakakaupili,"to stand intently watching, as a thief [said to be the name of a legendary rat thief]; to stand precariously, as at the edge of a cliff. ",li
halahalaw.ai,halahalawai,"watery, wet, tearful, weeping. ",ai
hakak.ai,hakakai,"bloated, swollen. ",ai
hakalu.nu,hakalunu, ,nu
halelo.ke,haleloke,"a kind of lavender or purplish-red chrysanthemum. Probably lit., rose house, and named for someone called Rose, or whose house was called Hale Loke. ",ke
halo.ke,haloke,"loose-fitting, not tight. ",ke
halema.no,halemano,"a romantic Oʻahu anti-hero who wooed, sometimes with success, the beautiful but fickle Puna princess, Kamalālāwalu. The account of the kilu (quoits) match contains some of the most beautiful of Hawaiian poetry. At the end of the tale the lovers apparently tire of one another. see ʻAikanaka₃.  lit., many houses. ",no
hamaham.au,hamahamau, ,au
hale.kia,hale kia,portico; veranda with pillars; porch of pillars. ,kia
haluha.lu,haluhalu, ,lu
hamu.mu,hamumu,"to whisper, murmur, hum; whispering. ",mu
hamuha.mu,hamuhamu, ,mu
hamumu.mu,hamumumu, ,mu
hamoha.mo,hamohamo, ,mo
hanaha.na,hanahana,"hot, warm, vehement. ",na
hanahanau.na,hanahanauna, ,na
haliha.li,halihali,"to transport, transmit. ",li
ha.me,hame,"the two native species of Antidesma, medium-sized trees with hard wood, in the euphorbia family; leaves more or less ovate, fruits in grapelike clusters, purple, one-seeded. Formerly the wood was used for anvils for preparing olonā fiber, the fruit to color tapa red. ",me
hanahan.ai,hanahanai,"edge of a precipice or slope, brow of a hill. ",ai
hale.moe,hale moe,"sleeping house, dormitory. ",moe
hameha.me,hamehame, ,me
hanowe.la,hanowela,Hanover. ,la
hanup.au,hanupau,"a disease, perhaps pneumonia. ",au
haoh.ao,haohao, ,ao
han.ua,hanua, ,ua
hana.ua,hanaua, ,ua
hanakaulu.na,hanakauluna,"name of a star associated with Hanakalauʻai, and Hakalauʻai; all were omens of pestilence or calamity. ",na
hanau.na,hanauna,"   • generation; 
   • relative whose relationship was established several generations previously; 
   • ancestry, birth.    ",na
hana.na,hanana,"occasion, event, occurrence, incident, time. ",na
hani.na,hanina, ,na
hanaw.ai,hanawai,"irrigation; to irrigate, water. ",ai
hanan.ai,hananai, ,ai
haneha.ne,hanehane, ,ne
hanakapa.hu,hanakapahu,"smallpox (perhaps short for hana i ka pahu, build the coffin). ",hu
hano.na,hanona, ,na
haoha.na,haohana,"scooping; handful. (Probably hao₃ + -hana, nominalizer.) ",na
hanai.na,hanaina,feeding. ,na
hanuha.nu,hanuhanu, ,nu
hanu.nu,hanunu,"steep, bent-over, stooped, round-shouldered; stooping. ",nu
hapao.no,hapaono,one sixth. ,no
haoki.la,haokila,"to be sturdy as steel. lit., iron steel (Eng.). ",la
hauh.au,hauhau, ,au
hapu.ee,hapuee,a kind of fish. ,ee
hauha.ua,hauhaua, ,ua
hauha.na,hauhana,"lashing, as of adze to handle; to lash. (hau₃ + -hana, nominalizer) ",na
hao.na,haona,"handful, scoopful; receptacle, as a dipper for kava. ",na
hapai.na,hapaina,"carrying, lifting, carrier; pregnancy. ",na
haohao.na,haohaona, ,na
hauhau.na,hauhauna, ,na
hapawa.lu,hapawalu,one eighth; eighth part; a coin worth twelve and a half cents; a piece of silver money (Luka 15.8) . ,lu
hapako.lu,hapakolu,third; one third. ,lu
hapahap.ai,hapahapai,"   • to toss up, as a child; 
   • to heave or breathe heavily; 
   • to glorify, praise.    ",ai
hapaw.ai,hapawai,"a shellfish, Theodoxus vespertinus. ",ai
haue.ne,hauene,calcareous earth resembling chalk or plaster. ,ne
hapali.ma,hapalima,fifth; one fifth. ,ma
haoka.nu,haokanu,seedbed; to prepare a seedbed. ,nu
hapahane.li,hapahaneli,"hundredth part, percentage. ",li
hauhauhi.li,hauhauhili, ,li
hauhauha.li,hauhauhali,"to carry to and from, as gossip. ",li
hauk.au,haukau,"choppy, as the sea. ",au
haukapi.la,haukapila,hospital. ,la
hehipuaha.la,hehipuahala,"rain name associated with Poʻo-kū, Kauaʻi. lit., stepping upon pandanus flowers. ",la
haula.na,haulana,"iceberg, floating ice. ",na
hauma.lu,haumalu,quiet. ,lu
haun.one,haunone,name of a cold wind. ,one
haulala.pa,haulalapa,"to blaze, scorch, sear. ",pa
hau.pa,haupa,to eat heartily or voraciously. ,pa
hauwe.ne,hauwene,"to cry, tease, nag, fret. ",ne
hea.na,heana,"corpse, especially of one slain in battle; victim, human sacrifice; carcass (Mat. 24.28) , remains. ",na
hehe.na,hehena,"   • insane, raving mad, crazy, possessed; 
   • insanity, madness; 
   • lunatic, maniac.    ",na
haukamu.mu,haukamumu, ,mu
haukali.ma,haukalima,"ice cream. lit., creamed (Eng.) ice. ",ma
hauna.ma,haunama,a slightly offensive odor. ,ma
haupale.mo,haupalemo,"a lua fighting stroke. lit., the drowned blow... ",mo
hauko.mo,haukomo,"a lua fighting stroke. lit., the blow enters... ",mo
hehi.na,hehina,"footrest; any place on which to step or tread; a stepping, treading. ",na
hau.na,hauna,"   • unpleasant odor, as of spoiling fish or meat, or volcanic sulphur; 
   • stench; tainted.      ",na
haumanuma.nu,haumanumanu, ,nu
hauhi.li,hauhili, ,li
hauma.nu,haumanu, ,nu
heleeke.la,heleekela,"the planet Uranus, formerly called Hershel for its discoverer, Sir William Hershel, in 1781. ",la
helahe.la,helahela, ,la
hele.la,helela,herald. ,la
hekehe.ke,hekeheke,plump. ,ke
hele.au,hele au,to go drifting along. ,au
hel.ua,helua, ,ua
hele.na,helena,going. ,na
helemau.na,helemauna,"a rare native variety of dry-land taro, with dark purplish petioles and white corms; grown on Hawaiʻi. ",na
hele.wiki,hele wiki,"quick step, quick time; to go fast. ",wiki
helepo.na,helepona,Hebron. ,na
hele.ne,helene,"Greek, Grecian, Greece. ",ne
heleu.ma,heleuma,"stone anchor, anchor. ",ma
hemahe.ma,hemahema,"want, need, necessity; lacking, destitute (Oihk. 22.23) , needy. ",ma
heliokalo.pe,heliokalope,"introduced, sweet-scented heliotrope (Heliotropium arborescens syn. H. corymbosum). ",pe
heluha.na,heluhana,"factor, as in arithmetic. ",na
helu.na,heluna,"number, count, total sum, amount; grade or mark (evaluation). ",na
heki.li,hekili,"thunder; to thunder. fig., passion, rage. ",li
hekiki.li,hekikili, ,li
hihiaw.ai,hihiawai,"the swamp fern (Ceratopteris thalictroides), an edible, somewhat succulent fern, distributed through the tropics. It grows in mud or water, as around taro patches, in tufts about 30 cm high. The fronds are triangular and are finely divided into long, narrow parts. Young fronds are eaten with fresh-water shrimps. ",ai
hiaa.la,hiaala,"same as the more common hiaʻā, indisposed to sleep, wakeful, sleepless... ",la
hepe.la,hepela,Hebrew. ,la
henohe.no,henoheno,"lovable, sweet. ",no
heuh.eu,heuheu, ,eu
