Domain,Word,Definition,TLD
hamuhamu.net,hamuhamu, ,mu
alahao.net,alahao,"railway, railroad track. lit., iron road. ",ao
akalau.net,akalau,"the ghost or spirit of a living person seen by others, a sign of calamity. lit., many shadows. ",au
alahaki.net,alahaki,mountain ladder or steps cut into a cliff. ,ki
alawela.net,alawela,"dark lines on stomach of a pregnant woman, converging near the navel. lit., burned path. ",la
halolani.net,halolani,"to move quietly, as a soaring bird. ",ni
emowai.net,emowai,"an addition of water, as for mixing poi. Kauaʻi. ",ai
hailona.net,hailona,"   • divination, casting lots, throwing dice; 
   • to test 
   • (also used interchangeably with hōʻailona).   ",na
apowaena.net,apowaena,parentheses. ,na
alapoki.net,alapoki,shipwrecked. ,ki
anahonua.net,anahonua,geometry. ,ua
auhuli.net,auhuli,"to overturn, overthrow, upset; to till. ",li
amaumau.net,amaumau, ,au
hahuhahu.net,hahuhahu, ,hu
halahalawai.net,halahalawai,"watery, wet, tearful, weeping. ",ai
haluhalu.net,haluhalu, ,lu
akepahaola.net,akepahaola,lung. ,la
anianiikalani.net,anianiikalani,name of a star said to be in the Milky Way. ,ni
akaluli.net,akaluli,"to move slowly, carefully. ",li
alalai.net,alalai, ,ai
hakihana.net,hakihana, ,na
hakinau.net,hakinau, ,au
aulike.net,aulike,"even, smooth, as timber. ",like
hakalina.net,hakalina,"showy, pompous, vain, as of one's attire. ",na
hainaki.net,hainaki,prayer removing the taboo on land after the taxes had been collected (an example of a pule hainaki is in (Malo 146–7)). ,ki
alamimo.net,alamimo,"quick, fast. ",mo
apohao.net,apohao,"iron hoop or band, named for the king's guard under the monarchy. ",ao
alolua.net,alolua,"two-sided, two-faced; facing one another, as cliffs on opposite sides of a valley. ",ua
hahae.net,hahae, ,ae
alawiki.net,alawiki,"to hurry; quick, fast. ",wiki
aneane.net,aneane,"faint, feeble, exhausted; nauseous dizziness. ",ne
elehu.net,elehu,slate or ash-colored pumice. ,hu
haikina.net,haikina,hyacinth. ,na
ahulu.net,ahulu,"overdone, overcooked; overcultivated, as soil. ",lu
akeomilu.net,akeomilu,"a lua fighting stroke. lit., the liver of Milu ",lu
hamohamo.net,hamohamo, ,mo
alehu.net,alehu, ,hu
halahula.net,halahula,"consideration of grievances, disputes; councils for such consideration. ",la
ahuna.net,ahuna,"pile, heap. ",na
akahao.net,akahao,"to pick up carefully, as food. ",ao
anauna.net,anauna, ,na
hahaki.net,hahaki, ,ki
hahani.net,hahani, ,ni
haiehu.net,haiehu, ,hu
ahahana.net,ahahana,"syllables repeated in chants, usually at ends of verses, similar to ēhē; also ahana and ahana kōkō lele, both meaningless. ",na
haloke.net,haloke,"loose-fitting, not tight. ",ke
hakihaki.net,hakihaki, ,ki
hamumu.net,hamumu,"to whisper, murmur, hum; whispering. ",mu
ahikao.net,ahikao,"fireworks (perhaps from Eng. scow [kao], as fireworks were first displayed from ships of explorers). ",ao
ahulau.net,ahulau,"   • pestilence, epidemic, 
   • heaped up, as dead bodies.   ",au
akiahala.net,akiahala, ,la
