Domain,Word,Definition,TLD
ae.ae,aeae,"   • a prolonged sound, 
   • wail; 
   • to prolong, 
   • stretch. ",ae
ahaha.na,ahahana,"syllables repeated in chants, usually at ends of verses, similar to ēhē; also ahana and ahana kōkō lele, both meaningless. ",na
aha.na,ahana, ,na
ahik.ao,ahikao,"fireworks (perhaps from Eng. scow [kao], as fireworks were first displayed from ships of explorers). ",ao
ahimaka.ni,ahimakani,"gasoline. lit., wind fire. ",ni
ah.io,ahio,"lazy, indolent; to shirk work, loiter. ",io
aho.na,ahona,"better, well, well-being, fortunate, improved; to need (aho₃ + -na). ",na
a.hu,ahu,"   • heap, pile, collection, mound, mass; 
   • altar, shrine, cairn; 
   • a traplike stone enclosure made by fishermen for fish to enter; 
   • laid, as the earth oven. ",hu
ahua.hu,ahuahu,"healthy, vigorous; strength and vigor, as of animal or plant; to grow rapidly, thrive. ",hu
ahua.ke,ahuake, ,ke
ahul.au,ahulau,"   • pestilence, epidemic, 
   • heaped up, as dead bodies.   ",au
ahu.lu,ahulu,"overdone, overcooked; overcultivated, as soil. ",lu
ahu.na,ahuna,"pile, heap. ",na
ahuu.lu,ahuulu, ,lu
ai.na,aina,sexual intercourse. ,na
akaakala.ni,akaakalani,afterglow. ,ni
akah.ai,akahai,"modest, gentle, unassuming, unpretentious, unobtrusive, docile, decorous, meek, suave; meekness, modesty. ",ai
akaha.na,akahana,to work carefully or slowly. ,na
akah.ao,akahao,"to pick up carefully, as food. ",ao
akala.ni,akalani, ,ni
akal.au,akalau,"the ghost or spirit of a living person seen by others, a sign of calamity. lit., many shadows. ",au
akalu.li,akaluli,"to move slowly, carefully. ",li
a.ke,ake,liver. ,ke
akeakam.ai,akeakamai,"a lover of wisdom, seeker after knowledge, philosopher, scientist, scholar; philosophy, science; scientific. lit., to desire wisdom. ",ai
akea.ke,akeake,"quick, ready, as to do a kindly, deed, helpful. ",ke
akemaka.ni,akemakani,"lung. lit., wind liver. ",ni
ake.na,akena,"to boast, brag, admire, praise. ",na
akeomi.lu,akeomilu,"a lua fighting stroke. lit., the liver of Milu ",lu
akepahao.la,akepahaola,lung. ,la
akep.au,akepau,"tuberculosis, consumption. lit., finished liver. ",au
akiaha.la,akiahala, ,la
ak.ua,akua,God (Christian). ,ua
akui.la,akuila, ,la
aku.la,akula,aku + demon. lā. ,la
a.la,ala,"to rise up, arise, get up, come forward. ",la
alaha.ki,alahaki,mountain ladder or steps cut into a cliff. ,ki
alah.ao,alahao,"railway, railroad track. lit., iron road. ",ao
alahu.la,alahula,"   • a frequented and well-known path; to frequent such; 
   • to tread or trample, as on a taboo being broken. And.   ",la
alal.ai,alalai, ,ai
alami.mo,alamimo,"quick, fast. ",mo
ala.na,alana,"awakening, rising. ",na
ala.ni,alani,"brown seaweeds (Dictyota spp.), regularly divided into narrow segments. They are so bitter that they will taint other seaweeds put with them and can be eaten but little and by some are considered poisonous. Medical kahunas used them in small quantities to treat asthma. This name is sometimes qualified by the terms kai and ʻula. Also maka and false līpoa. ",ni
alap.ao,alapao,tunnel. ,ao
alapi.ne,alapine,"quick, fast. ",ne
alapinepi.ne,alapinepine, ,ne
alapo.ki,alapoki,shipwrecked. ,ki
al.au,alau,"dividing, branching, as of winds and lineages. ",au
alau.la,alaula,"light of early dawn, sunset glow. lit., flaming road. ",la
alaw.ai,alawai,"channel, canal. ",ai
alawe.la,alawela,"dark lines on stomach of a pregnant woman, converging near the navel. lit., burned path. ",la
ala.wiki,alawiki,"to hurry; quick, fast. ",wiki
ale.hu,alehu, ,hu
ale.na,alena,"a lowland perennial weed (Boerhaavia repens), with long, thin, prostrate branches, bearing small leaves and flowers. The swollen roots were used medicinally, acting as a diuretic. Anena on Niʻihau. ",na
a.li,ali, ,li
alia.li,aliali,"crystal clear, white; clarity, whiteness. ",li
alia.na,aliana, ,na
alohal.ua,alohalua,"name given to the kāmole plant used in hana aloha sorcery. lit., mutual love. ",ua
alohi.ki,alohiki,"families united by marriage, in-laws. ",ki
alol.io,alolio, ,io
alol.ua,alolua,"two-sided, two-faced; facing one another, as cliffs on opposite sides of a valley. ",ua
a.lu,alu,"combined, acting together; to cooperate, act together. ",lu
alua.lu,alualu,"   • to follow, pursue, chase; 
   • to run, as for political office.    ",lu
alu.like,alu like,work together... ,like
a.ma,ama,"outrigger float; port hull of a double canoe, so called because it replaces the float. ",ma
amaum.au,amaumau, ,au
a.mo,amo,"to carry a burden on the shoulders, to lift weights; a burden. fig., responsibility. ",mo
amoa.mo,amoamo,"to raise or mount high, as waves; high, raised. ",mo
a.mu,amu,"to curse, revile. ",mu
amua.mu,amuamu, ,mu
a.na,ana,"to have enough or too much, satisfied, satiated, surfeited. ",na
anaanap.au,anaanapau,to move briskly. ,au
anahon.ua,anahonua,geometry. ,ua
anahuinako.lu,anahuinakolu,trigonometry. lit. triangular measurement. ,lu
anahu.lu,anahulu,period of ten days; for ten days; to pass ten days. ,lu
anai.na,anaina,"congregation, audience, assembly, gathering, crowd; to assemble. ",na
anal.io,analio,tail feathers. ,io
ana.na,anana,"fathom: formerly the distance between tips of longest fingers of a man, measured with arms extended on each side; Catholic writers equated anana with one meter; to count by this measurement or by fathoms. ",na
anapu.ni,anapuni,"boundary, circumference, perimeter; to encircle, go around. ",ni
ana.ua,ana ua,rain gauge; to measure rainfall. ,ua
anau.na,anauna, ,na
anawae.na,anawaena,"diameter. lit., middle measure. ",na
a.ne,ane,"   • a dermestid beetle that destroys feathers in feather-work; 
   • mites, as in chickens; 
   • ringworm; 
   • insect-eaten, gnawed.    ",ne
anea.ne,aneane,"faint, feeble, exhausted; nauseous dizziness. ",ne
ane.na,anena,Niʻihau. ,na
a.ni,ani,"   • to beckon, wave; beckoning.
   • to blow softly, as a breeze; 
   • to draw a net over the surface of water; 
   • to pass over the surface, as a hand    ",ni
ania.ni,aniani,"   • mirror, 
   • glass; 
   • clear, transparent, 
   • obvious.   
Several types of aniani are listed below. ",ni
anianiikala.ni,anianiikalani,name of a star said to be in the Milky Way. ,ni
a.no,ano,"   • awe, reverence, peacefulness, sacredness, holiness;
   • feeling of awe, fear, or oppression; 
   • weird solitude, oppressive quiet; 
   • awestruck, lost in thought.    ",no
anoa.no,anoano, ,no
a.nu,anu,"cold, influenza; to have a cold. ",nu
aou.li,aouli,"firmament, sky, blue vault of heaven. ",li
apoh.ao,apohao,"iron hoop or band, named for the king's guard under the monarchy. ",ao
apowae.na,apowaena,parentheses. ,na
a.ua,aua,"to look, observe. ",ua
auak.ua,auakua,"ghost-ridden; haunted or unfriendly land. lit., ghost bile. cf. (Isa. 13.9) . ",ua
au.au,auau,"same as au₁, period of time, era...; to walk lightly and swiftly. ",au
auhi.li,auhili,"to turn off the course, wander, deviate. ",li
auhon.ua,auhonua,"ancient age, era, epoch. ",ua
auhu.li,auhuli,"to overturn, overthrow, upset; to till. ",li
auka.na,aukana,short for au kanaiʻi. ,na
aul.au,aulau,"to gather leaves to wrap fish in for cooking, as leaves of pōhuehue, mānewanewa, lauaʻe, ti; to frighten fish into a net with leaves. ",au
au.like,aulike,"even, smooth, as timber. ",like
aulo.li,auloli,mildew. ,li
aumi.ki,aumiki,outgoing current. ,ki
aupu.la,aupula,fishing with a pula stick or pūlale to drive fish into a net. ,la
ehehe.ne,ehehene,"to laugh merrily, giggle in glee; laughter. ",ne
e.hu,ehu,"same as:
   • ʻehu₁ spray, foam, mist...; 
   • ʻehu₂ dust, dusty...; 
   • ʻehu₃ pollen...; 
   • ʻehu₄ faint, difficult to see...    ",hu
ehue.hu,ehuehu,"   • animation varying from fury and storm to power and majesty, animated, animation. 
   • violent; violence
   • anger, fury; furious
   • powerful
   • majesty.   ",hu
ei.na,eina,scorched. ,na
ekikil.au,ekikilau,a stench that draws flies; bad-smelling. ,au
ele.hu,elehu,slate or ash-colored pumice. ,hu
emow.ai,emowai,"an addition of water, as for mixing poi. Kauaʻi. ",ai
e.mu,emu,to shoo away. ,mu
e.ne,ene,"   • first attempts of an infant to move; 
   • to draw up knees and push elbows, 
   • to crawl, creep. ",ne
ene.ne,enene, ,ne
epae.pa,epaepa,part of a fish's tail above and below the cleft. ,pa
h.ae,hae,"wild, fierce, vicious, furious, savage, ferocious; fury, rage; to rage. ",ae
haeh.ae,haehae,"to tear to bits, tease; ",ae
hae.na,haena,"-na₁ form with hae₁,₂,₃; wildness; barking; tearing. ",na
haeo.la,haeola,murderous. ,la
hah.ae,hahae, ,ae
hahaha.na,hahahana, ,na
haha.ki,hahaki, ,ki
haha.lu,hahalu,"empty, void; somewhat deflated, as a balloon; half rotten, as wood, taro. fig., hungry. ",lu
haha.na,hahana,"heat, warmth; warm, sultry, hot. ",na
haha.ni,hahani, ,ni
haha.no,hahano,enema. ,no
hah.ao,hahao,"to insert, put in. ",ao
haha.pe,hahape,Kauaʻi. ,pe
hah.au,hahau,"   • to strike, hit, whip, beat, switch, smite, wield, thrash; whip, lash, stroke; a blow.
   • to throw down, as a playing card with force; to play, as a card or kōnane pebble; 
   • to trump; 
   • to insert; 
   • to bat, as a ball;    ",au
haha.ua,hahaua, ,ua
hahi.li,hahili,a kind of fish. ,li
hahi.na,hahina, ,na
haho.ma,hahoma, ,ma
ha.hu,hahu,"(see ex., mānewanewa₂). ",hu
hahuha.hu,hahuhahu, ,hu
h.ai,hai,"offering, sacrifice; to offer, sacrifice. cf:
   haina, offering, sacrifice
   hai ʻai,  food offering; to offer vegetable food
   haialo, lit. follow the presence. same as haiā₁, retainer or follower of a chief...
   haiau, var. of heiau
   haipule, religious, devout, pious; to worship; to hold prayers or service, as to consecrate a heiau...
   heiau pre-Christian place of worship, shrine... ",ai
haiam.ua,haiamua, ,ua
hai.ao,hai ao,day sacrifice; to sacrifice by daylight. ,ao
hai.au,haiau, ,au
haie.hu,haiehu, ,hu
haih.ai,haihai, ,ai
haika.la,haikala,"severe cramps, said to have often proved fatal. ",la
hai.ki,haiki,"Haiti, Haitian. ",ki
haiki.na,haikina,hyacinth. ,na
hai.li,haili, ,li
haili.li,hailili, ,li
haili.moe,haili moe,"recollected dream, vision. ",moe
hailiop.ua,hailiopua,"a small native fern (Schizaea robusta) found in high mountain wet areas believed to be the plant form of the sorcery goddess Pua; sometimes used as a psychological remedy to ward off the evil influence of Pua.  lit., Pua's memory. Hawaiʻi. ",ua
hailo.na,hailona,"   • divination, casting lots, throwing dice; 
   • to test 
   • (also used interchangeably with hōʻailona).   ",na
hai.na,haina,"offering, sacrifice. ",na
haina.ki,hainaki,prayer removing the taboo on land after the taxes had been collected (an example of a pule hainaki is in (Malo 146–7)). ,ki
hak.ai,hakai,"container, bag, named for Haggai (Hagai 1.6) , who carried a bag with holes [spoken humorously]. ",ai
hakak.ai,hakakai,"bloated, swollen. ",ai
hakak.au,hakakau,"to straddle. fig., a tall thin person. ",au
hakakaulu.na,hakakauluna,"same as lona, canoe rest. ",na
hakakaupi.li,hakakaupili,"to stand intently watching, as a thief [said to be the name of a legendary rat thief]; to stand precariously, as at the edge of a cliff. ",li
hakali.na,hakalina,"showy, pompous, vain, as of one's attire. ",na
hakalu.nu,hakalunu, ,nu
ha.ki,haki, ,ki
ha.kia,hakia, ,kia
hakiha.ki,hakihaki, ,ki
hakiha.na,hakihana, ,na
haki.na,hakina,"   • broken piece, remnant, scrap, fragment; 
   • portion, 
   • balance, 
   • section, 
   • fraction, as in arithmetic. ",na
hakin.au,hakinau, ,au
hak.ua,hakua, ,ua
hakuha.na,hakuhana, ,na
haku.one,hakuone,"small land division, as cultivated for a chief. ",one
hakupa.pa,hakupapa,"to sew feathers to a band, as for a hat. ",pa
ha.la,hala,"   • sin, vice, to sin (Kanl. 9.21) ,
   • offense, 
   • fault, 
   • error;  err.    ",la
halaha.la,halahala,"correction, criticism, complaint, reproach. ",la
halahalak.au,halahalakau, ,au
halahalaw.ai,halahalawai,"watery, wet, tearful, weeping. ",ai
halahu.la,halahula,"consideration of grievances, disputes; councils for such consideration. ",la
halak.au,halakau,"to perch high, as a bird. ",au
halala.ni,halalani,"high heavens, atmosphere. ",ni
hale.kia,hale kia,portico; veranda with pillars; porch of pillars. ,kia
halelo.ke,haleloke,"a kind of lavender or purplish-red chrysanthemum. Probably lit., rose house, and named for someone called Rose, or whose house was called Hale Loke. ",ke
halema.no,halemano,"a romantic Oʻahu anti-hero who wooed, sometimes with success, the beautiful but fickle Puna princess, Kamalālāwalu. The account of the kilu (quoits) match contains some of the most beautiful of Hawaiian poetry. At the end of the tale the lovers apparently tire of one another. see ʻAikanaka₃.  lit., many houses. ",no
hale.moe,hale moe,"sleeping house, dormitory. ",moe
ha.li,hali,"to carry, fetch, bear (Nah. 10.17) . ",li
haliha.li,halihali,"to transport, transmit. ",li
halo.ke,haloke,"loose-fitting, not tight. ",ke
halola.ni,halolani,"to move quietly, as a soaring bird. ",ni
ha.lu,halu, ,lu
haluha.lu,haluhalu, ,lu
halu.lu,halulu,"to roar, thunder; roar explosion, loud noise, racket. ",lu
hamaham.au,hamahamau, ,au
ha.me,hame,"the two native species of Antidesma, medium-sized trees with hard wood, in the euphorbia family; leaves more or less ovate, fruits in grapelike clusters, purple, one-seeded. Formerly the wood was used for anvils for preparing olonā fiber, the fruit to color tapa red. ",me
hameha.me,hamehame, ,me
ha.mo,hamo,"   • anointed, smeared; to anoint, stain, rub, as with oil; to besmear, plaster, to spread, as butter;
   • stroke gently, pet, fondle, caress; 
   • to struggle, as a drowning man; 
   • to put on, as gloves (Kel. 134);  
   • to plane smooth. 
   • fig., to flatter; 
   • compassion.    ",mo
hamoha.mo,hamohamo, ,mo
ha.mu,hamu,"   • to eat voraciously, devour, eat scraps; 
   • fragments, scraps.   ",mu
hamuha.mu,hamuhamu, ,mu
hamu.mu,hamumu,"to whisper, murmur, hum; whispering. ",mu
hamumu.mu,hamumumu, ,mu
ha.na,hana,   • worthless;    • provoked.    ,na
hanaha.na,hanahana,"hot, warm, vehement. ",na
hanahan.ai,hanahanai,"edge of a precipice or slope, brow of a hill. ",ai
hanahanau.na,hanahanauna, ,na
hanai.na,hanaina,feeding. ,na
hanakapa.hu,hanakapahu,"smallpox (perhaps short for hana i ka pahu, build the coffin). ",hu
hanakaulu.na,hanakauluna,"name of a star associated with Hanakalauʻai, and Hakalauʻai; all were omens of pestilence or calamity. ",na
hana.na,hanana,"occasion, event, occurrence, incident, time. ",na
hanan.ai,hananai, ,ai
hana.ua,hanaua, ,ua
hanau.na,hanauna,"   • generation; 
   • relative whose relationship was established several generations previously; 
   • ancestry, birth.    ",na
hanaw.ai,hanawai,"irrigation; to irrigate, water. ",ai
ha.ne,hane,"ghostly, soft, and indistinct sounding. cf. ʻuhane. ",ne
haneha.ne,hanehane, ,ne
ha.ni,hani,"   • to step or move lightly or softly; 
   • to graze, touch; 
   • soft, light. 
   • fig., to hint, suggest, act coy or flirtatious.    ",ni
haniha.ni,hanihani, ,ni
hani.na,hanina, ,na
hani.ni,hanini,"   • to overflow, spill, pour out, slop over; 
   • to pour down, as rain; 
   • to disappear.    ",ni
ha.no,hano, ,no
hano.na,hanona, ,na
hanowe.la,hanowela,Hanover. ,la
ha.nu,hanu,"   • to breathe, breath, respiration, transpiration, 
   • smell, sniff, inhale; 
   • last breath of life; 
   • vanity. (Bib.)    ",nu
han.ua,hanua, ,ua
