Word,Definition
-a,pas/imp. suffix. 
A₂,"abbreviation of ʻākau, north, as in surveying reports. "
-ā-,"simulative ligature in the sequence 'verb + noun' compounds; particle for forming verb compounds; like, similar to. 
usu. verb + ā + noun:
     ʻaiāmanō eat like a shark, have a prodigious appetite
     ʻaiāpuaʻa eat like a pig
     hanuāpuaʻa breathe like a pig, gasp for breath
     heleāiʻa (= holoāiʻa) swim like a fish
     heleāwai  flow like water
     hikiāloa long-range, long-term
     holoāiʻa swim like a fish
     huliāmahi turn like a strong (cock); cooperation, strength
     kaheāwai flowing like water
     kaʻiālupe lit. to lead like a kite (support a person between two others)
     kūākanaka turn into a man, look like a man
     kūākiʻi stand with hands on hips... like a statue...
     kūāmaʻi very sick
     mokuāhana dividing into factions
     mokuāhua grief, pity, disappointment
     mokuāwai burst as floodwaters, rush as a crowd
     paiālewa tossed here and there (lit., lift into space)
     paʻiāumi beat one's chest (as in lamentation)
     pukaāmaka to appear to the eyes (seal a relationship of two families by marriage)
    ʻumiāpuaʻa strangled like pigs
also verb + ā + verb:
     uhaiāholo chase like running
     uluāhewa mania, delusion; grow wild and lush    "
-ā₁,"pejorative suffix, often written wā after o or u. see ʻaiā, haiā, hainā, huā (huwā), kauā (kauwā), lonoā, (lonowā), mākoeā, naʻauʻauā (naʻauʻauwā), poluā (poluwā) "
-ā₂,"personal article occurring only after the preposition i, written ia. "
ā₁,"   • jaw, cheekbone. 
   • fig., to talk a lot, jabber, jibber jabber.   "
ā₂,"an instrument made of smooth bone, formerly used for abortion, lancing, or bleeding. also āʻōʻō, piercing ā. "
ā₃,"mold found in souring foods, especially poi, generally known as Oidium lactis or Oospora lactis, but now called Geotrichum candidum. "
ʻa-₁,"prefix to numbers from one through nine, especially for counting in series. "
ʻa-₂, 
ʻā-,"in the nature of (as hina, white, ʻāhina, somewhat white, gray; pali, cliff, ʻāpali, like a cliff). There are many examples, as ʻālewalewa, ʻālualua, ʻāmokumoku, ʻāoʻo, ʻāpono, ʻāwela. "
ʻā₁,"fiery, burning; fire; to burn, blaze. fig., to glitter or sparkle, as a gem; to burn, as with jealousy or anger. "
ʻā₂,"ʻaʻā lava, or lava rock, as distinguished from smooth unbroken pāhoehoe lava (formerly preceded by ke); to flow, as ʻaʻā lava. "
ʻā₃, 
ʻā₄,"red-footed booby bird (Sula sula rubripes), brown booby (Sula leucogaster plotus), masked or blue-faced booby (Sula dactylatra personata); all indigenous and also breeding elsewhere. Legendary birds believed to have taken the shape of this bird are   ʻā ʻaia, ʻāʻaiʻanuheakāne and 
ʻāʻaianuinūkeu; ʻā by some were considered ʻaumākua. see also (Kep. 33). "
ʻā₅,young stage of damselfish (ʻāloʻiloʻi). 
ʻā₆,Oh! Well! Ah! Er … 
ʻā₇,"to drive, as fish or cattle. "
ʻā₈,"the letter ""a"". "
aʻa₁,"   • small root, rootlet, 
   • vein, artery, nerve, tendon, muscle. 
   • fig., womb, offspring.   "
aʻa₂,"   • to send greetings or love; 
   • joyous hospitality; 
   • joy at greeting a loved one.    "
ʻaʻa₁,"   • to brave, dare, challenge, defy (1-Sam. 17.10) , check, venture; to accept a challenge; 
   • bold, venturesome, valiant, intrepid.
   • to volunteer, involving a difficulty; 
   • to act wickedly or presumptuously (Kanl. 1.43) ;    "
ʻaʻa₂,"belt, girdle, waist; to gird, tie on. "
ʻaʻa₃,"   • bag, 
   • pocket, 
   • caul, envelope for a foetus, 
   • scrip [archaic: bag or wallet carried by wayfarers] (1-Sam. 17.40) ; 
   • fiber from coconut husk; 
   • clothlike sheath at base of coconut frond; 
   • cloth; 
   • chaff, hull (Ier. 23.28) ; 
   • skin covering eyeballs.     "
ʻAʻa₄, 
ʻaʻa₅, 
ʻaʻā₁,"   • to burn, blaze, glow;  fire;    • staring, as eyes.    • fig., angry; fury.     "
ʻaʻā₂,"ʻaʻā lava; stony, abounding with ʻaʻā lava. "
ʻAʻā₃,"Sirius, a zenith star that passes over Tahiti and Raʻiātea, formerly believed used by navigators; one of the brightest stars in the heavens. see Sirius for var. names. "
ʻaʻā₄,young stage of damselfish (ʻāloʻiloʻi). 
ʻāʻā₁,"dumbness, inability to speak intelligibly, a dumb person (Puk. 4.11) ; dumb, silent, still; to stutter and stammer, as a dumb person. "
ʻāʻā₂,"dwarf, small person; dwarfish, small. "
